호선,지하철역,위도,경도
1호선,동대문,37.571687,127.01093
1호선,동묘앞,37.573197,127.01648
1호선,서울역,37.556228,126.972135
1호선,시청,37.565715,126.977088
1호선,신설동,37.576048,127.024634
1호선,제기동,37.578103,127.034893
1호선,종각,37.570161,126.982923
1호선,종로3가,37.570406,126.991847
1호선,종로5가,37.570926,127.001849
1호선,청량리(서울시립대입구),37.579956,127.044585
2호선,강남,37.49799,127.027912
2호선,강변(동서울터미널),37.535095,127.094681
2호선,건대입구,37.540373,127.069191
2호선,교대(법원.검찰청),37.493961,127.014667
2호선,구로디지털단지,37.485266,126.901401
2호선,구의(광진구청),37.537077,127.085916
2호선,낙성대,37.47693,126.963693
2호선,당산,37.534946,126.902767
2호선,대림(구로구청),37.493243,126.894932
2호선,도림천,37.514287,126.882768
2호선,동대문역사문화공원,37.565613,127.009054
2호선,뚝섬,37.547184,127.047367
2호선,문래,37.517933,126.89476
2호선,방배,37.481426,126.997596
2호선,봉천,37.482362,126.941892
2호선,사당,37.476538,126.981544
2호선,삼성(무역센터),37.508844,127.06316
2호선,상왕십리,37.564354,127.029354
2호선,서울대입구(관악구청),37.481247,126.952739
2호선,서초,37.491897,127.007917
2호선,선릉,37.504286,127.048203
2호선,성수,37.544581,127.055961
2호선,시청,37.563588,126.975411
2호선,신답,37.57004,127.046481
2호선,신당,37.56564,127.019614
2호선,신대방,37.487462,126.913149
2호선,신도림,37.508961,126.891084
2호선,신림,37.484201,126.929715
2호선,신설동,37.574747,127.024932
2호선,신정네거리,37.520074,126.852912
2호선,신촌,37.555131,126.936926
2호선,아현,37.557345,126.956141
2호선,양천구청,37.512398,126.865819
2호선,역삼,37.500622,127.036456
2호선,영등포구청,37.525706,126.89661
2호선,왕십리(성동구청),37.561238,127.036954
2호선,용답,37.561904,127.050899
2호선,용두(동대문구청),37.574028,127.038091
2호선,을지로3가,37.566306,126.991696
2호선,을지로4가,37.566595,126.997817
2호선,을지로입구,37.566014,126.982618
2호선,이대,37.556733,126.946013
2호선,잠실(송파구청),37.513262,127.100159
2호선,잠실나루,37.520733,127.10379
2호선,잠실새내,37.511687,127.086162
2호선,종합운동장,37.511022,127.073704
2호선,충정로(경기대입구),37.559704,126.964378
2호선,한양대,37.555273,127.043655
2호선,합정,37.549457,126.913808
2호선,홍대입구,37.55679,126.923708
3호선,가락시장,37.492245,127.117757
3호선,경복궁(정부서울청사),37.575762,126.97353
3호선,경찰병원,37.495918,127.12454
3호선,고속터미널,37.504891,127.004916
3호선,교대(법원.검찰청),37.493025,127.013786
3호선,구파발,37.636763,126.918821
3호선,금호,37.548034,127.015872
3호선,남부터미널(예술의전당),37.485013,127.016189
3호선,녹번,37.600927,126.935756
3호선,대청,37.493514,127.079532
3호선,대치,37.494612,127.063642
3호선,도곡,37.490922,127.055452
3호선,독립문,37.574571,126.957748
3호선,동대입구,37.559052,127.005602
3호선,매봉,37.486947,127.046769
3호선,무악재,37.582299,126.950291
3호선,불광,37.610553,126.92982
3호선,수서,37.487378,127.101907
3호선,신사,37.516334,127.020114
3호선,안국,37.576477,126.985443
3호선,압구정,37.527072,127.028461
3호선,약수,37.554867,127.010541
3호선,양재(서초구청),37.484477,127.033902
3호선,연신내,37.619229,126.921038
3호선,오금,37.502129,127.128319
3호선,옥수,37.541684,127.017269
3호선,을지로3가,37.566672,126.992548
3호선,일원,37.483681,127.08439
3호선,잠원,37.512759,127.01122
3호선,종로3가,37.571605,126.991791
3호선,지축,37.648033,126.913917
3호선,충무로,37.56143,126.994072
3호선,학여울,37.496663,127.070594
3호선,홍제,37.589066,126.943736
4호선,길음,37.603407,127.025053
4호선,남태령,37.463873,126.989134
4호선,노원,37.65627,127.063276
4호선,당고개,37.670272,127.079066
4호선,동대문,37.57093,127.009287
4호선,동대문역사문화공원,37.565133,127.007885
4호선,동작(현충원),37.502852,126.980347
4호선,명동,37.560989,126.986325
4호선,미아(서울사이버대학),37.62667,127.025983
4호선,미아사거리,37.613292,127.030053
4호선,사당,37.476955,126.981651
4호선,삼각지,37.534075,126.9726
4호선,상계,37.660878,127.073572
4호선,서울역,37.55281,126.972556
4호선,성신여대입구(돈암),37.592612,127.016441
4호선,수유(강북구청),37.638052,127.025732
4호선,숙대입구(갈월),37.54456,126.972106
4호선,신용산,37.52917,126.967894
4호선,쌍문,37.648627,127.034709
4호선,이촌(국립중앙박물관),37.522295,126.974733
4호선,창동,37.653088,127.047274
4호선,총신대입구(이수),37.486263,126.981989
4호선,충무로,37.561207,126.99408
4호선,한성대입구(삼선교),37.588458,127.006221
4호선,혜화,37.582336,127.001844
4호선,회현(남대문시장),37.558514,126.978246
5호선,강동,37.535804,127.132481
5호선,강일,37.55749,127.17593
5호선,개롱,37.498079,127.13482
5호선,개화산,37.572399,126.806171
5호선,거여,37.493105,127.14415
5호선,고덕,37.555004,127.154151
5호선,공덕,37.544431,126.951372
5호선,광나루(장신대),37.545303,127.10357
5호선,광화문(세종문화회관),37.571525,126.97717
5호선,군자(능동),37.557088,127.079577
5호선,굽은다리(강동구민회관앞),37.545477,127.142853
5호선,길동,37.537801,127.140004
5호선,김포공항,37.562384,126.801292
5호선,까치산,37.531768,126.846683
5호선,답십리,37.566747,127.052704
5호선,동대문역사문화공원,37.564665,127.005353
5호선,둔촌동,37.527788,127.136248
5호선,마곡,37.560183,126.825448
5호선,마장,37.5661,127.042973
5호선,마천,37.49499,127.152781
5호선,마포,37.539574,126.945932
5호선,명일,37.55137,127.143999
5호선,목동,37.526065,126.864931
5호선,미사,37.560927,127.193877
5호선,발산,37.558598,126.837668
5호선,방이,37.508857,127.126133
5호선,방화,37.577446,126.812741
5호선,상일동,37.556712,127.166417
5호선,서대문,37.565773,126.966641
5호선,송정,37.561184,126.811973
5호선,신금호,37.554548,127.020331
5호선,신길,37.517623,126.914839
5호선,신정(은행정),37.524997,126.856191
5호선,아차산(어린이대공원후문),37.551691,127.089761
5호선,애오개,37.553736,126.95682
5호선,양평,37.525569,126.886129
5호선,여의나루,37.527098,126.932901
5호선,여의도,37.521747,126.924357
5호선,영등포구청,37.5242,126.89503
5호선,영등포시장,37.522669,126.905139
5호선,오금,37.502057,127.127938
5호선,오목교(목동운동장앞),37.524496,126.875181
5호선,올림픽공원(한국체대),37.516201,127.130923
5호선,왕십리(성동구청),37.56184,127.037059
5호선,우장산,37.548768,126.836318
5호선,을지로4가,37.567352,126.998032
5호선,장한평,37.56144,127.064623
5호선,종로3가,37.57254,126.990305
5호선,천호(풍납토성),37.53864,127.123308
5호선,청구,37.560276,127.013639
5호선,충정로(경기대입구),37.560236,126.9629
5호선,하남검단산,37.53972,127.22345
5호선,하남시청(덕풍-신장),37.54205,127.20612
5호선,하남풍산,37.552034,127.203864
5호선,행당,37.557322,127.029476
5호선,화곡,37.541513,126.840461
6호선,고려대(종암),37.590508,127.036296
6호선,공덕,37.543555,126.951678
6호선,광흥창(서강),37.547456,126.931993
6호선,구산,37.611377,126.91727
6호선,녹사평(용산구청),37.534675,126.986695
6호선,대흥(서강대앞),37.547771,126.942069
6호선,독바위,37.618456,126.933031
6호선,돌곶이,37.610537,127.056431
6호선,동묘앞,37.572279,127.015653
6호선,디지털미디어시티,37.576108,126.901391
6호선,마포구청,37.563515,126.903343
6호선,망원,37.556094,126.910052
6호선,버티고개,37.548013,127.007055
6호선,보문,37.585274,127.019351
6호선,봉화산(서울의료원),37.617283,127.091401
6호선,불광,37.610873,126.92939
6호선,삼각지,37.535534,126.974032
6호선,상수,37.547716,126.922852
6호선,상월곡(한국과학기술연구원),37.606377,127.048491
6호선,새절(신사),37.591148,126.913629
6호선,석계,37.614872,127.065595
6호선,신내,37.613174,127.102231
6호선,신당,37.566154,127.016146
6호선,안암(고대병원앞),37.586272,127.029005
6호선,약수,37.554263,127.010358
6호선,역촌,37.606021,126.922744
6호선,연신내,37.618636,126.920625
6호선,월곡(동덕여대),37.601948,127.041518
6호선,월드컵경기장(성산),37.569532,126.899298
6호선,응암,37.598605,126.915577
6호선,이태원,37.534488,126.994302
6호선,증산(명지대앞),37.583876,126.909645
6호선,창신,37.579661,127.015241
6호선,청구,37.560608,127.013986
6호선,태릉입구,37.617338,127.074735
6호선,한강진,37.539631,127.001725
6호선,합정,37.549209,126.913366
6호선,화랑대(서울여대입구),37.620064,127.084689
6호선,효창공원앞,37.539233,126.961384
7호선,가산디지털단지,37.480338,126.882656
7호선,강남구청,37.517179,127.041255
7호선,건대입구,37.540786,127.071011
7호선,고속터미널,37.503367,127.005068
7호선,공릉(서울과학기술대),37.625742,127.072896
7호선,광명사거리,37.479252,126.854876
7호선,군자(능동),37.556897,127.079338
7호선,남구로,37.486056,126.887249
7호선,남성,37.484596,126.971251
7호선,내방,37.487618,126.993513
7호선,노원,37.654836,127.060462
7호선,논현,37.511093,127.021415
7호선,대림(구로구청),37.493013,126.897075
7호선,도봉산,37.689241,127.046509
7호선,뚝섬유원지,37.53154,127.066704
7호선,마들,37.66494,127.057675
7호선,먹골,37.610637,127.077725
7호선,면목,37.588579,127.087503
7호선,반포,37.508178,127.011727
7호선,보라매,37.499872,126.920428
7호선,사가정,37.580894,127.088478
7호선,상도,37.502834,126.94791
7호선,상동,37.505781,126.753083
7호선,상봉(시외버스터미널),37.595577,127.085716
7호선,수락산,37.67785,127.055315
7호선,숭실대입구(살피재),37.496029,126.953822
7호선,신대방삼거리,37.499701,126.928276
7호선,신풍,37.50008,126.90993
7호선,어린이대공원(세종대),37.548014,127.074658
7호선,온수(성공회대입구),37.492092,126.823023
7호선,용마산,37.573647,127.086727
7호선,이수,37.485196,126.981605
7호선,장승배기,37.504898,126.93915
7호선,장암,37.700109,127.053196
7호선,중계,37.644583,127.064303
7호선,중곡,37.565923,127.08432
7호선,중화,37.602545,127.079264
7호선,천왕,37.486637,126.838713
7호선,철산,37.47605,126.867911
7호선,청담,37.519365,127.05335
7호선,태릉입구,37.618294,127.075397
7호선,하계,37.636352,127.06799
7호선,학동,37.514229,127.031656
8호선,가락시장,37.492888,127.118398
8호선,강동구청,37.530341,127.120508
8호선,남위례,37.4624,127.13977
8호선,남한산성입구(성남법원.검찰청),37.451535,127.159816
8호선,단대오거리,37.44521,127.156866
8호선,모란,37.433824,127.129837
8호선,몽촌토성(평화의문),37.517409,127.112359
8호선,문정,37.485855,127.1225
8호선,복정,37.471052,127.126732
8호선,산성,37.457122,127.149908
8호선,석촌,37.505557,127.106832
8호선,송파,37.499703,127.112183
8호선,수진,37.437428,127.140722
8호선,신흥,37.440918,127.147564
8호선,암사,37.55021,127.127562
8호선,잠실(송파구청),37.514692,127.104338
8호선,장지,37.478703,127.126191
8호선,천호(풍납토성),37.538113,127.123254
9호선,가양,37.561391,126.854456
9호선,개화,37.578608,126.798153
9호선,고속터미널,37.50598,127.004403
9호선,공항시장,37.563726,126.810678
9호선,구반포,37.501364,126.987332
9호선,국회의사당,37.528105,126.917874
9호선,김포공항,37.561916,126.802152
9호선,노들,37.512887,126.953222
9호선,노량진,37.513534,126.941005
9호선,당산,37.533406,126.902809
9호선,동작(현충원),37.502878,126.978153
9호선,등촌,37.550632,126.865689
9호선,마곡나루,37.566778,126.82731
9호선,사평,37.504206,127.015259
9호선,샛강,37.517274,126.928422
9호선,선유도,37.53802,126.893525
9호선,신논현,37.504598,127.02506
9호선,신목동,37.544277,126.88308
9호선,신반포,37.503415,126.995925
9호선,신방화,37.567532,126.816601
9호선,양천향교,37.568381,126.841333
9호선,여의도,37.52176,126.92403
9호선,염창,37.546936,126.874916
9호선,증미,37.557402,126.861939
9호선,흑석(중앙대입구),37.50877,126.963708
9호선(연장),둔촌오륜,37.519683,127.137989
9호선(연장),봉은사,37.514219,127.060245
9호선(연장),삼성중앙,37.513011,127.053282
9호선(연장),삼전,37.504738,127.088025
9호선(연장),석촌,37.505208,127.10704
9호선(연장),석촌고분,37.502558,127.097033
9호선(연장),선정릉,37.510297,127.043999
9호선(연장),송파나루,37.510372,127.112216
9호선(연장),언주,37.507287,127.033868
9호선(연장),올림픽공원(한국체대),37.516269,127.130288
9호선(연장),종합운동장,37.511426,127.076275
9호선(연장),중앙보훈병원,37.529191,127.148739
9호선(연장),한성백제,37.516404,127.116503
